purpose,accounts,ead,ecl_upside,ecl_base,ecl_downside,ecl_weighted,ecl_severe,avg_pd_12m,avg_lgd,observed_bad_rate_validation_only,weighted_ecl_rate,ecl_share
debt_consolidation,108131,724265186.3613706,51264476.053075895,70944900.12133469,108918132.01193893,77486144.48374693,177938885.53785285,0.2059494782210844,0.39242918312047426,0.20997678741526482,0.10698587470844606,0.6530628773750324
credit_card,38928,234620061.44820657,15286920.094841901,21206162.635163065,32692172.066020288,23189778.611829195,53811561.741513245,0.1926744685391627,0.3900251746814632,0.16145191122071517,0.09883970905424233,0.19544634265688315
home_improvement,13854,90787080.62084334,4472389.719873553,6232448.592652247,9686349.804575082,6831915.064716152,16191096.713465737,0.16703757919623463,0.37721524469467305,0.14970405659015446,0.07525206249607776,0.057580231148050165
other,11351,53024088.72158074,3136784.7785911094,4355278.325288919,6725012.282665762,4764937.782628458,11104217.95717991,0.192115368638526,0.3842903708924324,0.1672980354153819,0.08986364306321655,0.04015948915214206
major_purchase,4346,25527703.03518122,1247784.6815676186,1738166.5328460434,2699011.490722055,1904820.4946232825,4501222.706061192,0.1702987264626865,0.37368614818223655,0.1654394845835251,0.0746177786539642,0.016054064392925643
small_business,1825,12904882.790436152,793451.6559691178,1100251.419535747,1695056.894661228,1202932.8237821227,2787179.1337843514,0.1955860134651817,0.3825534246575342,0.286027397260274,0.0932153234800102,0.010138467676021834
medical,2258,10135464.047425602,637347.5354102678,883720.8960710507,1361160.99890579,966124.917680618,2236246.771711266,0.19761120961403408,0.3847829937998229,0.1753764393268379,0.09532123178178634,0.008142621146630457
house,1123,9495575.621117888,521105.37638607126,721628.0989079038,1109572.8838745318,788535.8867712859,1820050.0886809155,0.1790927139097136,0.37492430988423864,0.16562778272484416,0.08304245242569652,0.00664587867365558
car,2030,8697999.273957858,457315.27485768154,636264.3479904871,986073.6172759068,696874.3043419212,1639650.2046306506,0.16799201591366597,0.37882758620689655,0.10541871921182266,0.08011891958055108,0.005873343439583821
moving,1266,4626768.513645551,279844.45906801935,389631.173242836,604280.998201925,426825.62235638575,1004424.8679414816,0.20078927310290465,0.3869510268562401,0.18246445497630331,0.09225134585781962,0.0035973395105742814
vacation,1330,3924693.4656850533,215005.84814433218,299152.92768529634,463548.85184762435,327629.8467947337,770035.9398906518,0.18707053218196848,0.38061654135338346,0.1293233082706767,0.08347909197477824,0.0027613051583252994
renewable_energy,123,631763.8574818976,41885.36964198625,57968.989327269686,88971.3453423655,63307.03537825112,145083.49259703714,0.19008153757919713,0.38130081300813007,0.17073170731707318,0.10020680136812846,0.0005335595796855737
wedding,1,9746.902653172549,338.9034131281124,480.6137457288559,769.4423321722851,531.5643424496017,1354.3875571187887,0.1462936758463045,0.38,0.0,0.05453674478595323,4.480090489763872e-06
