loan_id,reporting_date,issue_date,stage,stage_reason,primary_stage_trigger,relative_sicr_eligible_flag,pd_origination_proxy,pd_current_proxy,pd_12m,pd_lifetime,lgd_base,ead_current,eir_proxy,remaining_term_months,ecl_upside,ecl_base,ecl_downside,ecl_weighted,ecl_severe,ecl_data_supported_12m_upside,ecl_data_supported_12m_base,ecl_data_supported_12m_downside,ecl_data_supported_12m_weighted,ecl_data_supported_12m_severe,risk_grade,pd_band,purpose,fico_band,dti_band,term,home_ownership,state,bad_flag,exception_flag,p6_ead_original,p6_lgd_original,p6_expected_loss_original
40930057,2018-12-31,2015-02-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2056294882353393,0.2056294882353393,0.2056294882353393,0.2355302593112027,0.38,3177.8615990073886,0.1785999999999999,14,182.6910119885165,258.1493079749811,410.5861096633351,284.9397639990999,713.3138630006866,160.86089649595473,228.1333352201286,365.27062766829147,252.3267925235432,643.1841883533848,D - High,20-25%,vacation,B,20-30,60 months,RENT,CA,0,0,10000,0.38,781.3920552942897
102445291,2018-12-31,2017-03-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1311719051026586,0.1311719051026586,0.1311719051026586,0.1611828136222111,0.32,1120.9895106373629,0.0749,15,31.955180254058355,45.29599643892051,72.45515302104852,50.08466315672319,127.31521140371852,31.955180254058355,45.29599643892051,72.45515302104852,50.08466315672319,127.31521140371852,B - Moderate,10-15%,debt_consolidation,A-,10-20,36 months,MORTGAGE,FL,0,0,2525,0.32,105.9868993229482
17804445,2018-12-31,2014-06-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1754251700680272,0.1754251700680272,0.1754251700680272,0.0919389723526437,0.46,5206.720612530495,0.1951999999999999,6,146.16411058996985,209.25562606091987,340.86522070728404,232.6942974018684,621.4350150771704,146.16411058996985,209.25562606091987,340.86522070728404,232.6942974018684,621.4350150771704,C - Watch,15-20%,credit_card,C,00-10,60 months,MORTGAGE,NY,0,0,35000,0.46,2824.345238095238
90324414,2018-12-31,2016-09-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2496591956255188,0.2496591956255188,0.2496591956255188,0.5460990910703971,0.38,7206.674986103993,0.1559,33,925.5295097887416,1257.9567725680954,1867.0648962960988,1360.3697140831932,2843.240590578356,447.5873402633501,634.8232753596584,1016.6244223800296,702.188171850305,1791.1083730320713,D - High,20-25%,debt_consolidation,B,20-30,60 months,RENT,FL,1,0,11200,0.38,1062.5495365822082
68669205,2018-12-31,2016-01-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2056294882353393,0.2056294882353393,0.2056294882353393,0.3809655466004987,0.38,5840.359251826892,0.1148,25,548.4515130348888,759.9747448633307,1167.0047811103125,830.0037691508097,1893.136204984756,304.2393826454485,431.3733681778445,690.3844725218167,477.05604643397817,1214.531974402022,D - High,20-25%,debt_consolidation,B,20-30,60 months,MORTGAGE,TX,0,0,12000,0.38,937.6704663531476
23793507,2018-12-31,2014-08-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2203391130888445,0.2203391130888445,0.2203391130888445,0.1528951562048507,0.46,4381.2387933160135,0.1398,8,205.4934898239118,293.8248154236678,477.6199491151809,326.52390000658266,867.8662328130082,205.4934898239118,293.8248154236678,477.6199491151809,326.52390000658266,867.8662328130082,D - High,20-25%,credit_card,C,10-20,60 months,MORTGAGE,OH,0,0,24800,0.46,2513.628602117539
95877089,2018-12-31,2016-12-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1754251700680272,0.1754251700680272,0.1754251700680272,0.1754251700680271,0.38,2783.05805682192,0.0699,12,126.33133437581536,179.0826354990098,286.4900458490385,198.02179291803785,503.5328412823641,126.33133437581536,179.0826354990098,286.4900458490385,198.02179291803785,503.5328412823641,C - Watch,15-20%,medical,B,10-20,36 months,OWN,TX,0,0,7800,0.38,519.9602040816326
74616699,2018-12-31,2016-03-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.3317074291315068,0.3317074291315068,0.3317074291315068,0.5961919942308875,0.46,10524.045306877648,0.2196999999999999,27,1752.5059683789095,2385.3959048268844,3544.923369354489,2580.3442804915894,5385.627673130692,1024.3192961599366,1453.935825521866,2332.123748316216,1609.040326816164,4127.223559111504,E - Very High,>25%,debt_consolidation,C,30-40,60 months,MORTGAGE,OR,0,0,18025,0.46,2750.352148643889
39523511,2018-12-31,2015-01-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1913770585553211,0.1913770585553211,0.1913770585553211,0.2055652548178455,0.38,3208.005567702354,0.1144,13,155.54051974648942,220.5283685502568,352.91348857902216,243.87647123688305,620.7318853858884,155.54051974648942,220.5283685502568,352.91348857902216,243.87647123688305,620.7318853858884,C - Watch,15-20%,debt_consolidation,B,10-20,60 months,RENT,NV,0,0,12000,0.38,872.6793870122644
54334163,2018-12-31,2015-07-01,Stage 1,No SICR proxy,No SICR proxy,0,0.0852319318273173,0.0852319318273173,0.0852319318273173,0.1315548166894925,0.28,13211.81040269007,0.1099,19,210.4807593451632,298.34787959086583,477.2169613558446,329.8850819952551,838.4668114228917,210.4807593451632,298.34787959086583,477.2169613558446,329.8850819952551,838.4668114228917,A - Low,<=10%,home_improvement,A+,10-20,60 months,MORTGAGE,NY,0,0,35000,0.28,835.2729319077097
68475789,2018-12-31,2016-01-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.3317074291315068,0.3317074291315068,0.3317074291315068,0.5681358511260743,0.46,9950.21738995217,0.1948,25,1618.3271893004264,2212.0613032580327,3311.0281470704467,2397.742897117495,5090.51937027261,978.5222205279414,1388.7096403041269,2226.7920485814766,1536.7021294070364,3937.659589866347,E - Very High,>25%,debt_consolidation,C,20-30,60 months,RENT,FL,0,0,18600,0.46,2838.0887636491725
73793886,2018-12-31,2016-03-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1913770585553211,0.1913770585553211,0.1913770585553211,0.0517201668073243,0.38,759.2100757771004,0.0975,3,10.196112798265776,14.69331608887095,24.2291292357452,16.402688881998735,45.32881792590064,10.196112798265776,14.69331608887095,24.2291292357452,16.402688881998735,45.32881792590064,C - Watch,15-20%,credit_card,B,10-20,36 months,RENT,MN,0,0,8000,0.38,581.7862580081763
98165082,2018-12-31,2017-02-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2707462755231136,0.2707462755231136,0.2707462755231136,0.3081290460413122,0.38,4264.73390801954,0.1049,14,333.92985354018435,471.1001251961996,746.9866378282525,519.4962126058106,1288.8552530250497,294.023747600833,416.9454229961803,667.4862214367051,461.1423712970094,1175.1926294056775,E - Very High,>25%,credit_card,B,30-40,36 months,MORTGAGE,PA,0,0,10000,0.38,1028.8358469878317
71056714,2018-12-31,2016-02-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2056294882353393,0.2056294882353393,0.2056294882353393,0.0376408371572606,0.38,1864.7906290054088,0.1446,2,18.13655503764995,26.228384834495674,43.54205229509568,29.34302723011881,82.68241557589438,18.13655503764995,26.228384834495674,43.54205229509568,29.34302723011881,82.68241557589438,D - High,20-25%,debt_consolidation,B,20-30,36 months,MORTGAGE,NY,0,0,27600,0.38,2156.642072612239
75182106,2018-12-31,2016-03-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1311719051026586,0.1311719051026586,0.1311719051026586,0.0345418255876018,0.32,3462.12497270984,0.1299,3,26.17464834655136,37.50140372347427,61.15927711459533,41.7168587647161,111.6620833257035,26.17464834655136,37.50140372347427,61.15927711459533,41.7168587647161,111.6620833257035,B - Moderate,10-15%,debt_consolidation,A-,10-20,36 months,RENT,WI,0,0,35000,0.32,1469.1253371497771
107355417,2018-12-31,2017-04-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1311719051026586,0.1311719051026586,0.1311719051026586,0.1709542930421698,0.38,5352.340534560306,0.1139,16,177.82394949095274,252.0848887273084,403.29754405431294,278.7489116736062,708.8851506209737,177.82394949095274,252.0848887273084,403.29754405431294,278.7489116736062,708.8851506209737,B - Moderate,10-15%,credit_card,B,00-10,36 months,MORTGAGE,NC,0,0,11000,0.38,548.2985633291132
79691160,2018-12-31,2016-05-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1311719051026586,0.1311719051026586,0.1311719051026586,0.0569042812315484,0.28,155.58546384231704,0.0916,5,1.6972276534799402,2.4257922377704384,3.938724657265754,2.6947406550006927,7.128220731174603,1.6972276534799402,2.4257922377704384,3.938724657265754,2.6947406550006927,7.128220731174603,B - Moderate,10-15%,vacation,A+,30-40,36 months,RENT,PA,0,0,1000,0.28,36.72813342874444
65823399,2018-12-31,2015-11-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.3317074291315068,0.3317074291315068,0.3317074291315068,0.5381303975700764,0.38,6734.1938697312125,0.1099,23,917.8969671848992,1258.6102546772352,1893.639515044927,1366.2605766453078,2932.818999478748,567.8089740550585,805.3698801775473,1289.936725115569,890.8774554936793,2274.458115475028,E - Very High,>25%,credit_card,B,30-40,60 months,RENT,NY,0,0,15000,0.38,1890.7323460495888
110459569,2018-12-31,2017-06-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2496591956255188,0.2496591956255188,0.2496591956255188,0.6340641354499343,0.46,10225.932310674856,0.263,42,1599.9010328428062,2154.1568642166635,3149.9878680920824,2319.97624047944,4697.61800839978,734.9931192595942,1042.94512775934,1671.6976586140022,1153.9404591980438,2951.1323488061776,D - High,20-25%,home_improvement,C,10-20,60 months,RENT,CA,1,0,12450,0.46,1429.7982133473463
122225571,2018-12-31,2017-10-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2496591956255188,0.2496591956255188,0.2496591956255188,0.4093810621170619,0.46,3945.757198165194,0.0944,22,495.6934709966522,687.2085156709173,1055.6836119193938,750.6000330318966,1710.3357036776715,305.0994515486089,432.60423470926384,692.4012468386816,478.42777026752,1218.3719786334973,D - High,20-25%,credit_card,C,10-20,36 months,RENT,TX,0,0,6125,0.46,703.4147836748994
76895853,2018-12-31,2016-04-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1311719051026586,0.1311719051026586,0.1311719051026586,0.0457885606751836,0.32,3077.4924200950773,0.0789,4,31.020433026415343,44.38988336623014,72.23283585239741,49.34520393679973,131.29592429432222,31.020433026415343,44.38988336623014,72.23283585239741,49.34520393679973,131.29592429432222,B - Moderate,10-15%,debt_consolidation,A-,10-20,36 months,MORTGAGE,GA,0,0,25000,0.32,1049.3752408212692
73561437,2018-12-31,2016-03-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1913770585553211,0.1913770585553211,0.1913770585553211,0.0517201668073243,0.32,1154.3644568853488,0.1629,3,12.930814671475442,18.63444480187971,30.728722168091373,20.802469623871986,57.49134054519024,12.930814671475442,18.63444480187971,30.728722168091373,20.802469623871986,57.49134054519024,C - Watch,15-20%,credit_card,A-,30-40,36 months,OWN,NC,1,0,11200,0.32,685.895377862271
73641400,2018-12-31,2016-03-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.3317074291315068,0.3317074291315068,0.3317074291315068,0.0958475606868611,0.46,633.5304364766343,0.1825,3,18.551930458881813,27.17295669650078,46.33778075161008,30.671008774635258,94.90961974873332,18.551930458881813,27.17295669650078,46.33778075161008,30.671008774635258,94.90961974873332,E - Very High,>25%,debt_consolidation,C,30-40,36 months,MORTGAGE,FL,0,0,6000,0.46,915.5125044029588
121895380,2018-12-31,2017-10-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1462936758463045,0.1462936758463045,0.1462936758463045,0.2517175132915933,0.38,3895.63377892526,0.1091,22,144.69124023685805,205.1203909297344,328.17626274862283,226.81998628052503,576.9020916709246,144.69124023685805,205.1203909297344,328.17626274862283,226.81998628052503,576.9020916709246,B - Moderate,10-15%,credit_card,B,00-10,36 months,RENT,CA,0,0,6000,0.38,333.5495809295744
77080016,2018-12-31,2016-04-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1913770585553211,0.1913770585553211,0.1913770585553211,0.0683587998407799,0.38,2275.590888278552,0.2657,4,39.15168506449122,56.3179155967588,92.55488235071245,62.80222270540706,171.9365681519277,39.15168506449122,56.3179155967588,92.55488235071245,62.80222270540706,171.9365681519277,C - Watch,15-20%,debt_consolidation,B,10-20,36 months,OWN,AL,1,0,14800,0.38,1076.3045773151262
130056587,2018-12-31,2018-03-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1462936758463045,0.1462936758463045,0.1462936758463045,0.2994419595435356,0.38,16291.047822840956,0.0943,27,609.3497312538249,863.8075518260672,1381.9285408212868,955.1691259890356,2428.95844646437,609.3497312538249,863.8075518260672,1381.9285408212868,955.1691259890356,2428.95844646437,B - Moderate,10-15%,credit_card,B,10-20,36 months,MORTGAGE,MO,0,0,21000,0.38,1167.4235332535104
102648596,2018-12-31,2017-03-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1754251700680272,0.1754251700680272,0.1754251700680272,0.2142442055679019,0.38,2828.4089242406017,0.1499,15,123.6594793420122,175.3385384613585,280.62918867914783,193.90934214790389,493.7033909084132,123.6594793420122,175.3385384613585,280.62918867914783,193.90934214790389,493.7033909084132,C - Watch,15-20%,debt_consolidation,B,00-10,36 months,RENT,GA,0,0,6000,0.38,399.969387755102
87174939,2018-12-31,2016-08-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2203391130888445,0.2203391130888445,0.2203391130888445,0.1528951562048507,0.46,5708.042148495515,0.1449,8,267.2909919631392,382.1893691444867,621.2693377308055,424.7246047138643,1128.9279799994924,267.2909919631392,382.1893691444867,621.2693377308055,424.7246047138643,1128.9279799994924,D - High,20-25%,debt_consolidation,C,10-20,36 months,MORTGAGE,TX,0,0,21875,0.46,2217.162325456499
55272361,2018-12-31,2015-07-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1311719051026586,0.1311719051026586,0.1311719051026586,0.1995910452560573,0.32,13211.81040269007,0.1099,19,370.3339080901727,524.984164065053,839.8814230307711,580.5109404102504,1476.2306759140756,370.3339080901727,524.984164065053,839.8814230307711,580.5109404102504,1476.2306759140756,B - Moderate,10-15%,credit_card,A-,20-30,60 months,OWN,CO,0,0,35000,0.32,1469.1253371497771
81537234,2018-12-31,2016-06-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2056294882353393,0.2056294882353393,0.2056294882353393,0.1087253443720838,0.38,8261.32102266336,0.1825,6,226.8179820049831,325.3816458844128,532.1062286273785,362.27824198823976,978.7600975200168,226.8179820049831,325.3816458844128,532.1062286273785,362.27824198823976,978.7600975200168,D - High,20-25%,credit_card,B,20-30,36 months,OWN,FL,0,0,40000,0.38,3125.568221177158
50427908,2018-12-31,2015-06-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2203391130888445,0.2203391130888445,0.2203391130888445,0.3115718484505216,0.38,4310.5270698055065,0.1099,18,337.348802378629,472.67393211906415,740.2907577931569,519.279369076522,1246.8288303874483,241.18842873811693,341.9819255315272,547.3433228671427,378.2032503464195,963.0099121950471,D - High,20-25%,credit_card,B,20-30,60 months,RENT,WV,0,0,12000,0.38,1004.7463556851312
86862443,2018-12-31,2016-08-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2203391130888445,0.2203391130888445,0.2203391130888445,0.4850694479905745,0.38,7532.565049695968,0.1559,32,854.3406577869281,1169.0512871003878,1756.0893745609026,1268.6042145684976,2735.762974920302,412.7432366887436,585.3375883727548,937.1599337473368,647.4040219637986,1650.10481093947,D - High,20-25%,debt_consolidation,B,20-30,60 months,OWN,AL,1,0,12000,0.38,1004.7463556851312
68821514,2018-12-31,2016-01-01,Stage 2,High-risk/watchlist origination proxy,High-risk/watchlist origination proxy,0,0.2203391130888445,0.2203391130888445,0.2203391130888445,0.0205277288471527,0.46,391.7642812952436,0.1148,1,2.5248868156420547,3.665983375724647,6.132907386101973,4.11154989430659,11.851207304259278,2.5248868156420547,3.665983375724647,6.132907386101973,4.11154989430659,11.851207304259278,D - High,20-25%,debt_consolidation,C,10-20,36 months,MORTGAGE,MI,0,0,12000,0.46,1216.271904250422
88604093,2018-12-31,2016-08-01,Stage 1,No SICR proxy,No SICR proxy,0,0.1462936758463045,0.1462936758463045,0.1462936758463045,0.1000763489046334,0.38,1875.1212011231385,0.1049,8,48.23793347477381,68.74272907110614,111.02867168356502,76.23849538477101,198.87250384422,48.23793347477381,68.74272907110614,111.02867168356502,76.23849538477101,198.87250384422,B - Moderate,10-15%,other,B,10-20,36 months,MORTGAGE,FL,0,0,7500,0.38,416.936976161968
