account_id,application_period,matured_flag,bad_flag,pd,scorecard_points,risk_grade,exposure,lgd,expected_loss,fico,dti,loan_amount,purpose,policy_decision
97260301,2017-01,1,0,0.1462936758463045,511.14721837075314,B - Moderate,25000,0.38,1389.7899205398935,692.0,17.39,25000,credit_card,APPROVE
1546293,2012-10,1,0,0.2203391130888445,475.0596525482949,D - High,12800,0.46,1297.356697867117,677.0,14.27,12800,credit_card,APPROVE
93811796,2016-12,1,1,0.1462936758463045,511.14721837075314,B - Moderate,9850,0.38,547.577228692718,682.0,9.31,9850,credit_card,APPROVE
63692407,2015-11,1,0,0.0852319318273173,555.1005987184961,A - Low,35000,0.28,835.2729319077097,797.0,15.06,35000,debt_consolidation,APPROVE
100005980,2017-03,1,0,0.2056294882353393,481.3918402665517,D - High,16000,0.46,1513.433033412098,677.0,16.76,16000,credit_card,APPROVE
88059106,2016-09,1,0,0.2707462755231136,455.37756313396335,E - Very High,18000,0.38,1851.9045245780967,707.0,31.97,18000,credit_card,MANUAL_REVIEW
57234209,2015-08,1,0,0.0852319318273173,555.1005987184961,A - Low,15000,0.28,357.97411367473273,807.0,8.1,15000,debt_consolidation,APPROVE
7063467,2013-09,1,0,0.3317074291315068,434.4320208769221,E - Very High,8000,0.46,1220.683339203945,672.0,27.04,8000,debt_consolidation,MANUAL_REVIEW
19686342,2014-07,1,0,0.2496591956255188,463.2828937420615,D - High,14975,0.46,1719.7773690663869,672.0,16.91,14975,debt_consolidation,APPROVE
75678219,2016-03,1,1,0.3317074291315068,434.4320208769221,E - Very High,2000,0.38,252.0976461399452,712.0,38.24,2000,other,MANUAL_REVIEW
70854348,2016-02,1,0,0.2707462755231136,455.37756313396335,E - Very High,5000,0.46,622.7164337031612,662.0,22.49,5000,credit_card,MANUAL_REVIEW
48160928,2015-05,1,0,0.2203391130888445,475.0596525482949,D - High,9800,0.46,993.2887218045114,677.0,2.94,9800,debt_consolidation,APPROVE
15430750,2014-05,1,0,0.1754251700680272,495.5433283916054,C - Watch,12000,0.38,799.938775510204,702.0,14.33,12000,debt_consolidation,APPROVE
39691160,2015-01,1,0,0.1754251700680272,495.5433283916054,C - Watch,10000,0.38,666.6156462585034,702.0,15.09,10000,debt_consolidation,APPROVE
69573210,2016-01,1,0,0.2056294882353393,481.3918402665517,D - High,7000,0.38,546.9744387060027,682.0,26.55,7000,credit_card,APPROVE
13557549,2014-04,1,0,0.2056294882353393,481.3918402665517,D - High,1975,0.46,186.81439006180585,672.0,5.16,1975,credit_card,APPROVE
71925660,2016-02,1,0,0.2707462755231136,455.37756313396335,E - Very High,20000,0.38,2057.6716939756634,697.0,32.71,20000,debt_consolidation,MANUAL_REVIEW
60555765,2015-09,1,0,0.2707462755231136,455.37756313396335,E - Very High,8150,0.46,1015.0277869361528,662.0,23.89,8150,credit_card,MANUAL_REVIEW
59033443,2015-08,1,1,0.1913770585553211,487.85605718958175,C - Watch,5000,0.38,363.61641125511017,717.0,12.38,5000,debt_consolidation,APPROVE
89035195,2016-09,1,0,0.2707462755231136,455.37756313396335,E - Very High,6025,0.46,750.3733026123093,672.0,15.34,6025,debt_consolidation,MANUAL_REVIEW
14729154,2014-04,1,0,0.1311719051026586,520.2841954822964,B - Moderate,19050,0.32,799.6239335058073,722.0,16.55,19050,debt_consolidation,APPROVE
94449091,2016-12,1,0,0.2203391130888445,475.0596525482949,D - High,13000,0.46,1317.6278962712906,662.0,9.1,13000,major_purchase,APPROVE
114599268,2017-07,1,1,0.2496591956255188,463.2828937420615,D - High,8525,0.46,979.0385356454722,667.0,16.8,8525,credit_card,APPROVE
88744670,2016-08,1,0,0.1913770585553211,487.85605718958175,C - Watch,15000,0.38,1090.8492337653306,687.0,19.82,15000,debt_consolidation,APPROVE
22362783,2014-07,1,1,0.2203391130888445,475.0596525482949,D - High,22000,0.46,2229.831824459108,662.0,10.34,22000,debt_consolidation,APPROVE
6765381,2013-08,1,1,0.2203391130888445,475.0596525482949,D - High,18225,0.38,1525.958527696793,682.0,25.41,18225,major_purchase,APPROVE
5706639,2013-06,1,0,0.2203391130888445,475.0596525482949,D - High,10075,0.38,843.5682944606414,707.0,24.12,10075,debt_consolidation,APPROVE
