period,accounts,matured_accounts,excluded_immature_accounts,bad_events,good_events,eligibility_status,outcome_window,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
2007-06,23,23,0,3,20,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2007-06
2007-07,62,62,0,7,55,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2007-07
2007-08,72,72,0,20,52,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2007-08
2007-09,53,53,0,13,40,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2007-09
2007-10,105,105,0,34,71,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2007-10
2007-11,112,112,0,34,78,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2007-11
2007-12,172,172,0,47,125,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2007-12
2008-01,305,305,0,84,221,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2008-01
2008-02,306,306,0,61,245,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2008-02
2008-03,402,402,0,89,313,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2008-03
2008-04,259,259,0,63,196,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2008-04
2008-05,115,115,0,25,90,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2008-05
