period,accounts,matured_accounts,excluded_immature_accounts,bad_events,good_events,eligibility_status,auc,ks,gini,observed_bad_rate_matured,mean_pd_matured,calibration_gap_matured,oe_ratio_matured,pd_psi_vs_development_baseline,reference_period,outcome_window,is_current_eligible_period,is_prior_eligible_period,prior_auc,change_auc,prior_ks,change_ks,prior_gini,change_gini,prior_observed_bad_rate_matured,change_observed_bad_rate_matured,prior_mean_pd_matured,change_mean_pd_matured,prior_calibration_gap_matured,change_calibration_gap_matured,prior_oe_ratio_matured,change_oe_ratio_matured,prior_pd_psi_vs_development_baseline,change_pd_psi_vs_development_baseline,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
2007-06,23,23,0,3,20,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.13043478260869565,0.15687718025259195,-0.026442397643896304,0.8314452261232594,2.11983192139544,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,,,,,,,,,,,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2007-06
2007-07,62,62,0,7,55,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.11290322580645161,0.17523040902847428,-0.06232718322202267,0.644312973030299,0.33353998519072103,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.13043478260869565,-0.01753155680224404,0.15687718025259195,0.01835322877588233,-0.026442397643896304,-0.03588478557812637,0.8314452261232594,-0.18713225309296044,2.11983192139544,-1.786291936204719,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2007-07
2007-08,72,72,0,20,52,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.2777777777777778,0.17454019444812358,0.10323758332965421,1.5914831460803618,0.2966070291528772,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.11290322580645161,0.16487455197132617,0.17523040902847428,-0.0006902145803507065,-0.06232718322202267,0.1655647665516769,0.644312973030299,0.9471701730500628,0.33353998519072103,-0.036932956037843856,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2007-08
2007-09,53,53,0,13,40,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.24528301886792453,0.19537297435209908,0.04991004451582545,1.255460330075531,0.3742488032205058,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.2777777777777778,-0.03249475890985326,0.17454019444812358,0.0208327799039755,0.10323758332965421,-0.05332753881382876,1.5914831460803618,-0.33602281600483086,0.2966070291528772,0.07764177406762862,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2007-09
2007-10,105,105,0,34,71,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.3238095238095238,0.1985201901244348,0.12528933368508902,1.6311163293091557,0.02492496393458527,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.24528301886792453,0.0785265049415993,0.19537297435209908,0.003147215772335732,0.04991004451582545,0.07537928916926356,1.255460330075531,0.3756559992336248,0.3742488032205058,-0.34932383928592053,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2007-10
2007-11,112,112,0,34,78,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.30357142857142855,0.20363015168509652,0.09994127688633203,1.490798027989912,0.2169441058865301,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.3238095238095238,-0.020238095238095277,0.1985201901244348,0.005109961560661708,0.12528933368508902,-0.025348056798756985,1.6311163293091557,-0.14031830131924372,0.02492496393458527,0.19201914195194483,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2007-11
2007-12,172,172,0,47,125,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.27325581395348836,0.19355002071174954,0.07970579324173882,1.411809789266017,0.12960592950778682,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.30357142857142855,-0.03031561461794019,0.20363015168509652,-0.010080130973346979,0.09994127688633203,-0.02023548364459321,1.490798027989912,-0.07898823872389493,0.2169441058865301,-0.08733817637874328,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2007-12
2008-01,305,305,0,84,221,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.2754098360655738,0.18942194326402498,0.08598789280154881,1.453948952902964,0.09790857272528236,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.27325581395348836,0.0021540221120854297,0.19355002071174954,-0.00412807744772456,0.07970579324173882,0.006282099559809989,1.411809789266017,0.04213916363694703,0.12960592950778682,-0.03169735678250446,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2008-01
2008-02,306,306,0,61,245,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.19934640522875818,0.19031909593681542,0.009027309291942759,1.0474324935577655,0.10151412639551934,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.2754098360655738,-0.0760634308368156,0.18942194326402498,0.0008971526727904466,0.08598789280154881,-0.07696058350960605,1.453948952902964,-0.40651645934519864,0.09790857272528236,0.0036055536702369745,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2008-02
2008-03,402,402,0,89,313,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.22139303482587064,0.19155371890563594,0.0298393159202347,1.1557751845837787,0.11876961532916534,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.19934640522875818,0.022046629597112455,0.19031909593681542,0.0012346229688205146,0.009027309291942759,0.02081200662829194,1.0474324935577655,0.10834269102601324,0.10151412639551934,0.017255488933646007,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2008-03
2008-04,259,259,0,63,196,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.24324324324324326,0.19228213109023687,0.05096111215300639,1.265033010941046,0.043623724669083916,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.22139303482587064,0.02185020841737262,0.19155371890563594,0.0007284121846009295,0.0298393159202347,0.02112179623277169,1.1557751845837787,0.10925782635726722,0.11876961532916534,-0.07514589066008143,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2008-04
2008-05,115,115,0,25,90,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.21739130434782608,0.19216097760845197,0.025230326739374115,1.1312978683465253,0.1719392548746711,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.24324324324324326,-0.025851938895417176,0.19228213109023687,-0.00012115348178490248,0.05096111215300639,-0.025730785413632273,1.265033010941046,-0.13373514259452057,0.043623724669083916,0.12831553020558717,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2008-05
2008-06,124,124,0,22,102,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,,,,0.1774193548387097,0.182400299909751,-0.004980945071041326,0.9726922320110997,0.18549569991124,2014-01_to_2015-12,12-month matured target inherited from P3,False,False,,,,,,,0.21739130434782608,-0.039971949509116395,0.19216097760845197,-0.009760677698700954,0.025230326739374115,-0.03021127181041544,1.1312978683465253,-0.15860563633542568,0.1719392548746711,0.013556445036568887,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Frozen P3 model monitoring on matured outcome population; no retraining,2008-06
