risk_grade,purpose,accounts,matured_accounts,exposure,avg_pd,observed_bad_accounts,observed_bad_rate_matured,expected_loss,exposure_share,el_share,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
D - High,debt_consolidation,249115,242114,3698678625.0,0.2260735997020305,55742,0.23023038733819606,349018012.07023996,0.19047976410602904,0.2281107838287913,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
E - Very High,debt_consolidation,178433,173338,2471973375.0,0.30296259146136856,53755,0.31011665070555794,327587330.1796041,0.12730516843603423,0.21410414384175647,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
C - Watch,debt_consolidation,156139,150485,2330005075.0,0.1830211128435689,28166,0.1871681562946473,161766722.92037004,0.11999388485714964,0.10572730543016853,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
B - Moderate,debt_consolidation,139051,132388,2376826825.0,0.1380770834554827,18522,0.13990694020606098,114789599.40768728,0.12240517732109855,0.07502405202803922,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
D - High,credit_card,84449,81881,1129516925.0,0.22303050155250156,16403,0.20032730425861922,108122834.5170095,0.058169454348785794,0.07066679563375111,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
E - Very High,credit_card,50746,49076,703733350.0,0.2954546073604492,13442,0.2739017034803162,89594141.4315342,0.0362418517779564,0.05855683409342731,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
C - Watch,credit_card,63093,60752,958120900.0,0.1840800929072811,9627,0.15846391888332895,68042969.06225026,0.04934266031752252,0.04447144408038296,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
B - Moderate,credit_card,68383,65423,1112131750.0,0.13944406631199874,7498,0.11460801247267781,56043701.172947004,0.0572741281069872,0.036628976617558276,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,debt_consolidation,58468,54227,1015638100.0,0.08523193182731727,4447,0.08200711822523835,25846743.13650615,0.052304762137882564,0.016892884127433786,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
D - High,home_improvement,18301,17649,228340750.0,0.2191220511892674,4113,0.2330443651198368,21830528.667153545,0.011759413727326406,0.014267971375239831,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
D - High,other,24804,23558,222464600.0,0.22724762073783455,5423,0.23019780966126158,21617603.56562265,0.011456795473800352,0.01412880803659454,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
B - Moderate,home_improvement,24143,22811,367664000.0,0.14051567248673305,3553,0.15575818683968262,18920161.47937153,0.01893447879383656,0.012365816995021359,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
C - Watch,home_improvement,16171,15435,208945725.0,0.18470273553849903,2926,0.18956916099773244,15625255.145079575,0.010760581397894016,0.01021233596950189,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
E - Very High,other,13770,13126,114018950.0,0.3089432859322071,3889,0.2962821880237696,15412968.38789005,0.005871908565621086,0.010073589839204094,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
E - Very High,home_improvement,10516,10061,121293900.0,0.28781261597795477,2760,0.27432660769307227,15183566.152017824,0.006246564192773109,0.009923657394381277,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,credit_card,28880,27051,471979725.0,0.08523193182731731,1664,0.06151343758086577,12289501.563405419,0.024306677004366246,0.008032158047847076,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
C - Watch,other,15512,14511,145609725.0,0.18360061575356013,3029,0.2087381986079526,10206915.22645583,0.007498814815127054,0.0066710237072586725,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,home_improvement,18553,17223,312867325.0,0.08523193182731728,1586,0.09208616385066482,7985238.2078945255,0.016112482403762323,0.00521898264177796,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
B - Moderate,other,14345,13113,160206625.0,0.13814193982953113,2221,0.16937390375962785,7794222.479707176,0.008250546541664744,0.005094138805719222,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
